JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.101903226,0.223338544,0.149973525,0.45435604,0.237925564,0.439970445,0.193104762,0.251754841
0.373806945,0.271082496,0.056853421,0.08850155,0.085425327,0.504981341,0.081712683,0.098857283
0.689598982,0.836440391,0.357320421,0.533274862,0.911781675,0.474658803,0.846247805,0.916011393
0.674843317,0.777985242,0.761302843,0.143205043,0.356817753,0.642982252,0.485016441,0.076746529
0.553804519,0.789706611,0.520605943,0.486831395,0.446063483,0.418715244,0.467059251,0.264988058
0.133625887,0.048855341,0.154964302,0.072828034,0.043844051,0.048980492,0.4071532,0.056849333
0.120310778,0.092542534,0.125884851,0.060364401,0.685109102,0.060823378,0.585076486,0.604803483
0.121030668,0.692778978,0.134177414,0.100996978,0.50979886,0.640843575,0.275574722,0.353260446
0.211167071,0.210846508,0.229575953,0.143970557,0.509791178,0.710542377,0.08921358,0.328940638
0.878753736,0.893900648,0.860502243,0.934295083,0.934810826,0.888218049,0.874221806,0.816538372
0.095311415,0.074531966,0.103579588,0.078393501,0.056564302,0.929283189,0.290656474,0.125239317
0.284699444,0.312119735,0.382526255,0.361072052,0.514436261,0.021691805,0.423003239,0.360397194
0.3180781,0.157250503,0.151149281,0.105330389,0.168315411,0.090767927,0.488460646,0.085157346
0.060350982,0.105931573,0.050404098,0.056527721,0.908157972,0.525373008,0.880239836,0.922226824
0.483996912,0.327898564,0.497511661,0.388241826,0.583234102,0.361958989,0.208294469,0.273230542
0.514780337,0.609833454,0.535648071,0.531191911,0.714890231,0.901397028,0.60231752,0.621208152
0.405274713,0.380444764,0.342820511,0.125003016,0.446678688,0.036155207,0.246037469,0.090154697
0.613467915,0.826250462,0.686019916,0.470815237,0.899784871,0.442681419,0.888053004,0.90370517
0.512446893,0.656693445,0.38056938,0.390749327,0.860674034,0.185402887,0.132239371,0.547535137
0.56039869,0.434861952,0.407003507,0.156329915,0.032198455,0.584228071,0.168379182,0.345550488
0.311616866,0.590309251,0.697140318,0.394811341,0.563753266,0.257616965,0.202762649,0.661505771
0.048527068,0.063692321,0.049273191,0.04097317,0.033613658,0.357240756,0.459476855,0.043535854
0.919729442,0.956679153,0.839152462,0.808707278,0.938919196,0.967338519,0.853777231,0.902301735
0.811157291,0.807546059,0.496421293,0.821488556,0.212312993,0.176063759,0.357428555,0.050524819
0.064640013,0.054856248,0.031600101,0.019763597,0.041863454,0.372670206,0.16749868,0.023246287
0.198263616,0.238407713,0.164218246,0.072304001,0.180607057,0.143737638,0.215704434,0.105316047
0.262543408,0.165676945,0.119905577,0.722000487,0.699226163,0.070191543,0.263124228,0.084945006
0.12027979,0.128747543,0.342340522,0.060901102,0.257909765,0.449710405,0.154912449,0.470625567
0.914481839,0.931107895,0.87477952,0.589597905,0.906924765,0.377879627,0.696207383,0.922551094
