MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
0.522937484,0.866140301,0.497164022,0.14877831,0.050990024,0.323098428,0.051189764,0.050610345
0.073919413,0.455858088,0.058330216,0.062010334,0.29769383,0.428320322,0.117516003,0.551194452
0.100047088,0.037391062,0.043153626,0.616151799,0.063918239,0.070534503,0.059361549,0.046267941
0.540866292,0.504057984,0.512153722,0.38321112,0.126893995,0.846109885,0.50489588,0.889560524
0.087173838,0.469515784,0.062494116,0.551719551,0.49250044,0.380702928,0.499087123,0.34722449
0.420661869,0.041001787,0.596423009,0.889808027,0.455433855,0.445728246,0.497257021,0.586441953
0.52049188,0.035421974,0.505408596,0.097066576,0.059824628,0.058198636,0.06021699,0.060815053
0.474343508,0.734176178,0.500714008,0.598204725,0.491693682,0.479194902,0.524549634,0.483661532
0.72997317,0.521971293,0.12483012,0.213675067,0.897749964,0.872625623,0.912613969,0.914513349
0.566764302,0.774417573,0.487556803,0.617824791,0.360485658,0.464608967,0.288797017,0.341437292
0.881285877,0.120061597,0.918672703,0.039780152,0.415374909,0.295062947,0.410094388,0.339369414
0.461549401,0.484716189,0.481176579,0.079273373,0.480210057,0.329836829,0.346121044,0.402030345
0.035372102,0.037367463,0.079144058,0.052388947,0.072706191,0.297152292,0.07770464,0.27953399
0.071753271,0.388910275,0.092767511,0.475988512,0.414711966,0.388216113,0.432120951,0.515964448
0.569624563,0.801795242,0.53145204,0.906875826,0.272923748,0.065923351,0.115895859,0.075358106
0.143894074,0.475002309,0.171757618,0.120560372,0.0619942,0.055696813,0.161030124,0.075159139
0.700707181,0.621697175,0.496417212,0.937388007,0.161930226,0.126387621,0.411767618,0.343696277
0.506781121,0.438554485,0.505076459,0.544388144,0.437528982,0.475422197,0.86008514,0.522475857
0.4373996,0.756425144,0.510578428,0.546128886,0.095349648,0.40414358,0.082142244,0.371835333
0.465433967,0.502375502,0.51108799,0.04560942,0.061217318,0.035454387,0.08451732,0.045771866
0.418881576,0.129171035,0.144067004,0.657010888,0.142732451,0.133622575,0.106923791,0.077859343
0.476840967,0.243056801,0.541057176,0.50443218,0.499291702,0.513189774,0.312959219,0.335042909
0.134142692,0.458161846,0.067920913,0.460497631,0.061195964,0.062032259,0.036239461,0.039110318
0.914165555,0.347504376,0.935975779,0.478081387,0.07771283,0.497542478,0.022501738,0.495534251
0.79343141,0.489473353,0.497269588,0.938407442,0.316887093,0.518272801,0.645836393,0.493613899
0.328112155,0.066563339,0.899250983,0.067589174,0.139377451,0.928019302,0.93097881,0.896972586
0.663986569,0.709451694,0.824728518,0.869340813,0.357925884,0.490218442,0.232245729,0.380170805
0.134079201,0.661475725,0.12291307,0.100426481,0.1654424,0.421310777,0.509455736,0.392674587
0.566056946,0.126548217,0.520912987,0.536222876,0.514817168,0.35068405,0.610171411,0.407772394
0.403934358,0.840340682,0.460990866,0.105581622,0.102380499,0.130916164,0.187435638,0.114062623
0.435805643,0.600833434,0.508592506,0.536556132,0.161745647,0.047853563,0.059950326,0.095597052
0.416751556,0.027170324,0.458426332,0.027132215,0.033593826,0.060784392,0.03727938,0.042582552
0.827017307,0.256878803,0.821551331,0.521156547,0.246318641,0.342376131,0.146872432,0.321946708
0.071599434,0.155337608,0.099609364,0.162545082,0.375312432,0.084438534,0.214071676,0.305269088
0.154253467,0.426667143,0.148475159,0.059928522,0.118005886,0.36140588,0.314759406,0.510656635
0.24025895,0.600476132,0.557694,0.737620408,0.552033896,0.304726339,0.561489129,0.50056373
0.657553862,0.237010682,0.625309312,0.620018763,0.795103522,0.151859291,0.68533211,0.530525969
0.082587048,0.116083697,0.116107399,0.048646971,0.89013393,0.617772779,0.470423806,0.648666166
0.863010683,0.590642291,0.926508375,0.614660531,0.532814287,0.574791,0.540656429,0.3916548
0.059595263,0.510753085,0.065846999,0.717342222,0.364402015,0.056934951,0.094729585,0.083464408
0.842061789,0.362034458,0.89877468,0.087270348,0.054296582,0.078331027,0.038670577,0.041228761
0.081356688,0.455821832,0.070608662,0.519543041,0.504338371,0.138079498,0.48376316,0.052781163
0.079010021,0.07785818,0.086440535,0.607976885,0.57691131,0.720056127,0.554013918,0.626751294
0.332257501,0.77685405,0.511743355,0.488453199,0.115548856,0.075930857,0.073606052,0.076370512
0.334254686,0.063596896,0.504811349,0.561628333,0.549147686,0.782481358,0.527779412,0.689888325
0.297000511,0.144759451,0.551964081,0.714329959,0.16130117,0.127856139,0.220144657,0.280261405
0.040837787,0.052918079,0.033703313,0.022116173,0.060019871,0.483570594,0.046025087,0.532916335
0.257293655,0.501851159,0.135332522,0.547886427,0.562755519,0.455026689,0.501601598,0.516573886
0.456330992,0.195531913,0.491816479,0.393754417,0.479328978,0.126037889,0.249548459,0.097410199
0.447282219,0.786811067,0.507084587,0.483526465,0.519072222,0.663635451,0.537223337,0.660655066
0.59546738,0.697314259,0.567216719,0.597846657,0.034953524,0.280627483,0.026817054,0.03553315
0.416045253,0.078642733,0.428826885,0.314198227,0.69999547,0.101073292,0.780932821,0.28291603
0.077738873,0.046255209,0.029420028,0.026991797,0.876347057,0.93682212,0.564106212,0.925322127
0.579063341,0.026608475,0.546934321,0.55732688,0.486654603,0.04477999,0.112919727,0.167843148
0.242924302,0.172461289,0.526051701,0.061728309,0.337002486,0.455460509,0.581740626,0.423640343
0.032549229,0.030944241,0.030232952,0.030441114,0.045537682,0.041233375,0.038480154,0.027906278
0.326757466,0.448057145,0.553305433,0.062889021,0.358015714,0.144278409,0.860695414,0.36403323
0.214280822,0.04537703,0.04621676,0.132830976,0.051983506,0.039479766,0.032489269,0.030753354
0.56450501,0.545558032,0.53981752,0.069348227,0.894735266,0.72281231,0.124418711,0.775639956
0.089754432,0.583176067,0.073676324,0.735881057,0.116215402,0.095364252,0.104298532,0.074600301
0.092592352,0.484064847,0.035783739,0.038248984,0.366367652,0.151162467,0.433917858,0.057831664
0.488796464,0.494261216,0.25000879,0.892339762,0.526534581,0.364638806,0.518482273,0.340290415
0.490955718,0.504169838,0.507274245,0.512823948,0.491815611,0.60555411,0.530512099,0.516604044
0.327980746,0.059900606,0.081460837,0.031621772,0.720122383,0.193682017,0.853746469,0.260407024
0.179436582,0.473607329,0.157369614,0.329901633,0.109197745,0.088380446,0.087162059,0.312380719
0.023136377,0.335366566,0.038133188,0.683096379,0.706815327,0.580050555,0.739542026,0.319184524
0.814209188,0.443677337,0.86956065,0.593994246,0.078838942,0.057358218,0.167728847,0.047260535
0.071991327,0.893132018,0.034499721,0.3943011,0.079260865,0.063485887,0.472221947,0.039549578
0.091425669,0.904875937,0.052657646,0.068841072,0.061107655,0.069220687,0.06776727,0.054331688
0.429697053,0.542580292,0.539998304,0.933514206,0.425427278,0.327992995,0.547033341,0.400572994
0.57220456,0.029617128,0.551762161,0.033469119,0.046222304,0.037730936,0.05136881,0.073053846
0.142273475,0.901796634,0.166610827,0.938031891,0.545609801,0.375231899,0.077793278,0.13914754
0.218791463,0.628950115,0.073581443,0.544993348,0.364968473,0.524529437,0.866464207,0.420328578
0.85677197,0.80244381,0.862166355,0.459428435,0.078185111,0.218676469,0.108018513,0.239634923
0.890669931,0.456420016,0.511246612,0.46740671,0.423885065,0.309975165,0.036876666,0.276753364
0.923447662,0.52596813,0.953870302,0.959187735,0.03245689,0.110812249,0.034359293,0.028972975
0.926928031,0.865765792,0.910643936,0.469669439,0.019077552,0.02109971,0.035576451,0.019280019
0.681035502,0.520219825,0.560672064,0.737833047,0.159595032,0.081229683,0.090890584,0.067828355
0.07878572,0.920021866,0.076526386,0.562428552,0.914879614,0.746796341,0.552596964,0.900608624
0.822826983,0.853578307,0.891308997,0.924894319,0.457512019,0.291911667,0.442286439,0.380936178
0.364438215,0.085918754,0.501914231,0.084289489,0.421873351,0.379542726,0.386658047,0.379620829
0.436066977,0.847183475,0.542738057,0.393262125,0.830633904,0.7716766,0.788723983,0.801577624
0.112509051,0.127369455,0.116608348,0.055544842,0.200854303,0.400277514,0.525664113,0.480221314
0.802180278,0.866259072,0.914259106,0.932756632,0.086053948,0.272281908,0.077655656,0.075353877
0.922691698,0.934105519,0.942099698,0.822264214,0.903990726,0.768759519,0.752571837,0.867586239
0.215555382,0.458990092,0.425215963,0.373770468,0.025188806,0.047061822,0.026055386,0.032136703
0.415457484,0.336835341,0.488377505,0.642889411,0.054644764,0.068263105,0.051279451,0.051695285
0.569427187,0.726619713,0.670738671,0.244499275,0.186039123,0.165473497,0.159818625,0.113099002
0.544443078,0.432932614,0.56697457,0.601467812,0.215089242,0.062890677,0.038560699,0.036986433
0.1104561,0.505071015,0.068439702,0.043809635,0.575301176,0.06233313,0.429447871,0.058256784
0.256600987,0.449683839,0.147580537,0.522358786,0.279102143,0.367611272,0.337616085,0.40254721
0.157190791,0.449470293,0.133833289,0.86125793,0.660316476,0.884223991,0.91515904,0.925173883
0.055515249,0.486273068,0.519852492,0.554584698,0.074397882,0.059516467,0.153659327,0.032411071
0.565358697,0.137238694,0.43762609,0.548453685,0.45944488,0.627993947,0.104313701,0.312456298
0.028206799,0.355742149,0.042519295,0.027258533,0.512509221,0.475996054,0.897900165,0.582064272
0.033795441,0.067261862,0.082733422,0.057232612,0.105869417,0.187946164,0.054807005,0.320480626
0.485147524,0.509940758,0.117898387,0.93987459,0.758400734,0.764899676,0.533143984,0.699284288
0.060833783,0.037222452,0.072283725,0.070750121,0.084541541,0.146264414,0.06488762,0.067943602
0.280214963,0.488330159,0.177975112,0.556729693,0.189751186,0.089685954,0.074371053,0.079054841
0.064236639,0.076343456,0.071863324,0.087271876,0.090625059,0.167038615,0.08304423,0.092083075
0.434657775,0.467560027,0.50104919,0.896845125,0.379190817,0.360460948,0.773010803,0.107430914
0.055429184,0.06355966,0.086067788,0.031290765,0.081136771,0.069150266,0.479948833,0.069011706
0.53545288,0.195729519,0.524453789,0.484702112,0.663864924,0.50345129,0.553167787,0.526850605
0.030309269,0.025651102,0.105160385,0.374285864,0.029500376,0.031774809,0.046438136,0.036310495
0.649024217,0.203854616,0.515249484,0.455762085,0.349062937,0.408294127,0.463555556,0.275903704
