DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.378445105,0.083524126,0.268654183,0.534635452,0.127094985,0.460176274,0.090666542,0.516275366
0.604356513,0.486467325,0.487162536,0.218291827,0.028031241,0.111556499,0.105301258,0.466865043
0.446587428,0.053203533,0.3741203,0.556662626,0.266374824,0.616661721,0.560464419,0.597545885
0.59800474,0.79496433,0.53810161,0.535804995,0.109560271,0.224939001,0.324848001,0.947014188
0.90476703,0.067401185,0.5299891,0.94123297,0.495870778,0.964470822,0.065841471,0.931174119
0.459899659,0.423205078,0.456356984,0.500130333,0.501257274,0.597444426,0.16201616,0.515005389
0.548725425,0.792906364,0.819357288,0.717003959,0.433089391,0.400839686,0.438997319,0.892177124
0.367177936,0.125185329,0.147152108,0.459976058,0.103214679,0.613670734,0.156229292,0.469633851
0.204405284,0.055461971,0.638450651,0.44928182,0.923060904,0.533744997,0.400618051,0.469140777
0.587608845,0.088951528,0.685473598,0.482483357,0.076463184,0.610269124,0.342871288,0.511152239
0.585641828,0.114392282,0.668791905,0.919801858,0.854478035,0.854832148,0.660703326,0.929296489
0.550402244,0.295260487,0.277350684,0.496829638,0.178939244,0.725490041,0.400655065,0.143891969
0.774841253,0.182496299,0.672162941,0.55035055,0.451378396,0.146271822,0.208641262,0.573482229
0.904042137,0.944666836,0.913019015,0.957003103,0.823677516,0.950113391,0.333260982,0.954392885
0.13560742,0.046632282,0.070828979,0.056272631,0.150563536,0.042019636,0.048823686,0.04022867
0.917767592,0.926184089,0.550813915,0.925776773,0.590005914,0.725969297,0.642049517,0.943088192
0.211371644,0.07811244,0.127880215,0.402888758,0.085416314,0.454223598,0.452937424,0.036774252
0.423509095,0.443619219,0.352626426,0.473280645,0.717250113,0.951486579,0.115840448,0.847837411
0.490769529,0.533353317,0.461019252,0.519776471,0.604909864,0.627900134,0.065976562,0.904102742
0.387919921,0.537392108,0.919817449,0.950384312,0.585353857,0.667629813,0.046283544,0.939668583
0.554626084,0.269460813,0.475120335,0.484118319,0.747842157,0.422939462,0.118094778,0.517719491
0.148049323,0.093618229,0.21088095,0.360583894,0.197200874,0.044101582,0.642609817,0.085666116
0.478550627,0.51045335,0.584203134,0.943882028,0.573877893,0.959076838,0.387874502,0.918272729
0.474975317,0.389504803,0.368657295,0.238478444,0.457488974,0.096160762,0.503322313,0.036873909
0.809373295,0.835525458,0.545259066,0.51611152,0.437240169,0.5413872,0.872269009,0.527977393
0.634262343,0.773373846,0.638139035,0.914213713,0.95016001,0.909646646,0.59172251,0.926776432
0.282174414,0.036367184,0.463203942,0.517060314,0.363665965,0.815611955,0.38579644,0.923264954
0.452882453,0.844929605,0.14273162,0.925945025,0.241707241,0.812056435,0.43464226,0.920951362
0.302692244,0.544992831,0.173495136,0.51322127,0.136901482,0.924737164,0.091289289,0.935276362
0.118450167,0.129036982,0.355432267,0.408801269,0.591034715,0.917614651,0.554150027,0.55226956
0.875488872,0.736612417,0.538225903,0.104003554,0.726566605,0.575390547,0.341639978,0.036644851
0.151452708,0.113103224,0.547066031,0.526156091,0.62930304,0.31954209,0.065600337,0.543970606
