SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
0.126865164,0.200270869,0.422990354,0.162686364,0.266554082,0.21024023,0.286526979,0.027818897
0.050234788,0.050118906,0.115140589,0.056943554,0.080891373,0.05810836,0.026171548,0.018940344
0.031257296,0.030812503,0.048828764,0.037220626,0.022372606,0.0255375,0.030005581,0.126676369
0.029175835,0.069546179,0.075822959,0.45262918,0.044475893,0.05096099,0.06849388,0.068888115
0.531269915,0.35189564,0.25610842,0.433351862,0.455241925,0.486286882,0.562589537,0.622182967
0.029730512,0.04567594,0.03317551,0.028151439,0.062810209,0.033663026,0.234822075,0.059903534
0.844674377,0.877305198,0.868840215,0.93225368,0.951851797,0.876875487,0.909168666,0.894583382
0.047872496,0.094570973,0.137048974,0.08335328,0.091534698,0.050979797,0.021572052,0.083333149
0.477152666,0.585112002,0.868704823,0.180238097,0.174225552,0.137106081,0.222666604,0.741953093
0.413733869,0.157226087,0.121991891,0.059375489,0.052385958,0.048795766,0.06014105,0.093120721
0.02862537,0.429770921,0.033158206,0.262844617,0.032332104,0.037038226,0.13084426,0.121937927
0.383864708,0.075345894,0.366859818,0.525078785,0.050656787,0.131417609,0.102733536,0.171232678
0.027016986,0.019857252,0.050792695,0.035143954,0.031720256,0.025104151,0.742365883,0.038549085
0.060965264,0.110200781,0.120829609,0.09209641,0.557221535,0.54072719,0.446300528,0.090724718
0.309633422,0.079939258,0.124598126,0.42323815,0.079823755,0.071758714,0.457610338,0.35863489
0.785874366,0.78339272,0.861382728,0.46070453,0.905190757,0.542797596,0.347557824,0.927226678
0.377251693,0.559877413,0.610487835,0.157977079,0.92017245,0.943683071,0.863983249,0.868942043
0.057906182,0.119968599,0.510817659,0.199275951,0.065843435,0.253204078,0.465587767,0.050126298
0.466278018,0.416589499,0.504004725,0.161970495,0.056412253,0.146728251,0.065769603,0.077489073
0.600992571,0.052187653,0.477729679,0.042456412,0.187864788,0.072981834,0.118644742,0.119465657
0.039735695,0.059190019,0.04497743,0.117671874,0.430193688,0.289521321,0.405910987,0.43354915
0.039084688,0.049730478,0.047967562,0.063471815,0.089089765,0.051452565,0.027313748,0.050029162
0.108271797,0.499852409,0.139490711,0.149417129,0.062781362,0.072556289,0.520179487,0.814913998
0.366441485,0.340245929,0.486533212,0.590300047,0.463041805,0.427585483,0.175487084,0.36304171
0.462108219,0.493237347,0.524691438,0.64572767,0.697603955,0.484614502,0.805809682,0.779724083
