NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1025	1	-1	-1	61.171200	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1026	1	-1	-1	62.171200	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	62.171200	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1026	1	-1	-1	62.171200	2	2	1	1026	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	63.171276	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	63.171276	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	63.171276	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	64.171303	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	64.171303	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	64.171303	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	65.171349	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	65.171349	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	65.171349	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	66.171463	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	66.171463	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	66.171463	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	67.171608	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	67.171608	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	67.171608	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	68.171753	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	68.171753	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	68.171753	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	69.171761	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	69.171761	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	69.171761	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	70.171776	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	70.171776	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	70.171776	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	71.171791	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	71.171791	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	71.171791	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	72.171799	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	72.171799	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	72.171799	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	73.171799	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	73.171799	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	73.171799	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	74.171936	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	74.171936	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	74.171936	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	75.171967	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	75.171967	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	75.171967	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	76.171982	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	76.171982	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	76.171982	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	77.172035	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	77.172035	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	77.172035	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	78.172066	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	78.172066	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	78.172066	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	79.172127	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	79.172127	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	79.172127	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	80.172142	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	80.172142	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	80.172142	2	2	1	1023	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	81.172150	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	81.172150	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	81.172150	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
