Generation	Size	Frequency	Count
210.178635	5	0.004878	13
210.178635	6	0.005854	8
210.178635	7	0.006829	9
210.178635	8	0.007805	5
210.178635	9	0.008780	7
210.178635	10	0.009756	5
210.178635	27	0.026341	1
210.178635	16	0.015610	3
210.178635	11	0.010732	3
210.178635	26	0.025366	2
210.178635	22	0.021463	2
210.178635	12	0.011707	1
210.178635	21	0.020488	4
210.178635	13	0.012683	1
210.178635	23	0.022439	1
210.178635	24	0.023415	2
210.178635	19	0.018537	1
210.178635	14	0.013659	1
220.179474	1	0.000976	74
220.179474	2	0.001951	37
220.179474	3	0.002927	16
220.179474	4	0.003902	13
220.179474	5	0.004878	15
220.179474	6	0.005854	9
220.179474	7	0.006829	11
220.179474	8	0.007805	6
220.179474	9	0.008780	7
220.179474	10	0.009756	4
220.179474	39	0.038049	1
220.179474	11	0.010732	3
220.179474	36	0.035122	1
220.179474	13	0.012683	4
220.179474	24	0.023415	1
220.179474	15	0.014634	2
220.179474	16	0.015610	3
220.179474	20	0.019512	1
220.179474	27	0.026341	1
220.179474	12	0.011707	3
220.179474	14	0.013659	1
220.179474	42	0.040976	1
220.179474	19	0.018537	1
230.180405	1	0.000976	86
230.180405	2	0.001951	47
230.180405	3	0.002927	25
230.180405	4	0.003902	18
230.180405	5	0.004878	6
230.180405	6	0.005854	8
230.180405	7	0.006829	7
230.180405	8	0.007805	4
230.180405	9	0.008780	6
230.180405	10	0.009756	4
230.180405	16	0.015610	1
230.180405	13	0.012683	3
230.180405	40	0.039024	1
230.180405	14	0.013659	4
230.180405	21	0.020488	1
230.180405	11	0.010732	2
230.180405	22	0.021463	2
230.180405	17	0.016585	3
230.180405	36	0.035122	1
230.180405	41	0.040000	1
230.180405	15	0.014634	1
230.180405	12	0.011707	3
230.180405	28	0.027317	1
240.180786	1	0.000976	86
240.180786	2	0.001951	30
240.180786	3	0.002927	30
240.180786	4	0.003902	14
240.180786	5	0.004878	8
240.180786	6	0.005854	12
240.180786	7	0.006829	9
240.180786	8	0.007805	4
240.180786	9	0.008780	7
240.180786	10	0.009756	5
240.180786	12	0.011707	3
240.180786	35	0.034146	1
240.180786	14	0.013659	1
240.180786	16	0.015610	2
240.180786	13	0.012683	1
240.180786	15	0.014634	2
240.180786	24	0.023415	1
240.180786	20	0.019512	2
240.180786	11	0.010732	7
240.180786	19	0.018537	1
240.180786	17	0.016585	1
240.180786	18	0.017561	2
240.180786	40	0.039024	1
250.181259	1	0.000976	80
250.181259	2	0.001951	34
250.181259	3	0.002927	23
250.181259	4	0.003902	14
250.181259	5	0.004878	11
250.181259	6	0.005854	8
250.181259	7	0.006829	4
250.181259	8	0.007805	8
250.181259	9	0.008780	5
250.181259	10	0.009756	4
250.181259	29	0.028293	1
250.181259	43	0.041951	1
250.181259	14	0.013659	2
250.181259	21	0.020488	2
250.181259	15	0.014634	3
250.181259	12	0.011707	3
250.181259	31	0.030244	1
250.181259	28	0.027317	1
250.181259	19	0.018537	1
250.181259	18	0.017561	2
250.181259	22	0.021463	1
250.181259	13	0.012683	3
250.181259	23	0.022439	1
250.181259	34	0.033171	1
250.181259	17	0.016585	1
260.181671	1	0.000977	77
260.181671	2	0.001953	45
260.181671	3	0.002930	23
260.181671	4	0.003906	15
260.181671	5	0.004883	10
260.181671	6	0.005859	11
260.181671	7	0.006836	5
260.181671	8	0.007812	2
260.181671	9	0.008789	7
260.181671	10	0.009766	5
260.181671	22	0.021484	2
260.181671	11	0.010742	6
260.181671	12	0.011719	1
260.181671	23	0.022461	1
260.181671	21	0.020508	1
260.181671	13	0.012695	7
260.181671	27	0.026367	1
260.181671	48	0.046875	1
260.181671	19	0.018555	2
260.181671	17	0.016602	2
260.181671	16	0.015625	1
260.181671	28	0.027344	1
270.182373	1	0.000976	73
270.182373	2	0.001951	39
270.182373	3	0.002927	20
270.182373	4	0.003902	19
270.182373	5	0.004878	13
270.182373	6	0.005854	5
270.182373	7	0.006829	7
270.182373	8	0.007805	7
270.182373	9	0.008780	5
270.182373	10	0.009756	4
270.182373	20	0.019512	3
270.182373	16	0.015610	3
270.182373	32	0.031220	2
270.182373	14	0.013659	1
270.182373	22	0.021463	2
270.182373	15	0.014634	2
270.182373	13	0.012683	1
270.182373	18	0.017561	1
270.182373	23	0.022439	1
270.182373	26	0.025366	1
270.182373	11	0.010732	2
270.182373	12	0.011707	3
270.182373	28	0.027317	1
270.182373	27	0.026341	1
280.182648	1	0.000976	97
